lane,source,destination,bytes,status
html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-002-samuel-1900.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\02_HTML_OUTPUTS\MDA-002-samuel-1900.paper-grade.html,6769,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-002-samuel-1900.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-002-samuel-1900\HTML\MDA-002-samuel-1900.paper-grade.html,6769,
final/Unsorted/JSON,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-002-samuel-1900.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-002-samuel-1900\JSON\MDA-002-samuel-1900.paper-grade.json,5489,
final/Unsorted/LOSSLESS_SUMMARY,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-002-samuel-1900.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-002-samuel-1900\LOSSLESS_SUMMARY\MDA-002-samuel-1900.lossless-summary.md,4598,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-002-samuel-1900.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-002-samuel-1900\HTML\MDA-002-samuel-1900.paper-grade-dashboard.html,9044,rendered
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-002-samuel-1900.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-002-samuel-1900\EXCEL\MDA-002-samuel-1900.paper-grade.review.xlsx,10772,rendered
final/Unsorted/MARKDOWN,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-002-samuel-1900.paper-grade.md,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-002-samuel-1900\MARKDOWN\MDA-002-samuel-1900.paper-grade.md,1470,
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-002-samuel-1900.paper-grade.xlsx,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-002-samuel-1900\EXCEL\MDA-002-samuel-1900.paper-grade.xlsx,6060,
final/Unsorted/CLAIMS,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-003-measuring-moral-health.claim-audit.csv,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-003-measuring-moral-health\CLAIMS\MDA-003-measuring-moral-health.claim-audit.csv,2574,
html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-003-measuring-moral-health.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\02_HTML_OUTPUTS\MDA-003-measuring-moral-health.paper-grade.html,7216,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-003-measuring-moral-health.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-003-measuring-moral-health\HTML\MDA-003-measuring-moral-health.paper-grade.html,7216,
final/Unsorted/JSON,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-003-measuring-moral-health.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-003-measuring-moral-health\JSON\MDA-003-measuring-moral-health.paper-grade.json,11168,
final/Unsorted/LOSSLESS_SUMMARY,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-003-measuring-moral-health.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-003-measuring-moral-health\LOSSLESS_SUMMARY\MDA-003-measuring-moral-health.lossless-summary.md,9820,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-003-measuring-moral-health.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-003-measuring-moral-health\HTML\MDA-003-measuring-moral-health.paper-grade-dashboard.html,9593,rendered
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-003-measuring-moral-health.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-003-measuring-moral-health\EXCEL\MDA-003-measuring-moral-health.paper-grade.review.xlsx,12249,rendered
final/Unsorted/MARKDOWN,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-003-measuring-moral-health.paper-grade.md,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-003-measuring-moral-health\MARKDOWN\MDA-003-measuring-moral-health.paper-grade.md,2080,
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-003-measuring-moral-health.paper-grade.xlsx,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-003-measuring-moral-health\EXCEL\MDA-003-measuring-moral-health.paper-grade.xlsx,7518,
final/Unsorted/CLAIMS,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-004-facts-framework.claim-audit.csv,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-004-facts-framework\CLAIMS\MDA-004-facts-framework.claim-audit.csv,15650,
html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-004-facts-framework.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\02_HTML_OUTPUTS\MDA-004-facts-framework.paper-grade.html,14980,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-004-facts-framework.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-004-facts-framework\HTML\MDA-004-facts-framework.paper-grade.html,14980,
final/Unsorted/JSON,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-004-facts-framework.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-004-facts-framework\JSON\MDA-004-facts-framework.paper-grade.json,49040,
final/Unsorted/LOSSLESS_SUMMARY,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-004-facts-framework.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-004-facts-framework\LOSSLESS_SUMMARY\MDA-004-facts-framework.lossless-summary.md,41935,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-004-facts-framework.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-004-facts-framework\HTML\MDA-004-facts-framework.paper-grade-dashboard.html,18487,rendered
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-004-facts-framework.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-004-facts-framework\EXCEL\MDA-004-facts-framework.paper-grade.review.xlsx,21860,rendered
final/Unsorted/MARKDOWN,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-004-facts-framework.paper-grade.md,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-004-facts-framework\MARKDOWN\MDA-004-facts-framework.paper-grade.md,12078,
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-004-facts-framework.paper-grade.xlsx,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-004-facts-framework\EXCEL\MDA-004-facts-framework.paper-grade.xlsx,17030,
final/Unsorted/CLAIMS,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-005-empirical-evidence.claim-audit.csv,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-005-empirical-evidence\CLAIMS\MDA-005-empirical-evidence.claim-audit.csv,3233,
html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-005-empirical-evidence.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\02_HTML_OUTPUTS\MDA-005-empirical-evidence.paper-grade.html,7604,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-005-empirical-evidence.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-005-empirical-evidence\HTML\MDA-005-empirical-evidence.paper-grade.html,7604,
final/Unsorted/JSON,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-005-empirical-evidence.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-005-empirical-evidence\JSON\MDA-005-empirical-evidence.paper-grade.json,15750,
final/Unsorted/LOSSLESS_SUMMARY,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-005-empirical-evidence.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-005-empirical-evidence\LOSSLESS_SUMMARY\MDA-005-empirical-evidence.lossless-summary.md,13685,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-005-empirical-evidence.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-005-empirical-evidence\HTML\MDA-005-empirical-evidence.paper-grade-dashboard.html,10113,rendered
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-005-empirical-evidence.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-005-empirical-evidence\EXCEL\MDA-005-empirical-evidence.paper-grade.review.xlsx,13367,rendered
final/Unsorted/MARKDOWN,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-005-empirical-evidence.paper-grade.md,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-005-empirical-evidence\MARKDOWN\MDA-005-empirical-evidence.paper-grade.md,2642,
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-005-empirical-evidence.paper-grade.xlsx,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-005-empirical-evidence\EXCEL\MDA-005-empirical-evidence.paper-grade.xlsx,8591,
final/Unsorted/CLAIMS,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-006-research-method.claim-audit.csv,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-006-research-method\CLAIMS\MDA-006-research-method.claim-audit.csv,5678,
html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-006-research-method.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\02_HTML_OUTPUTS\MDA-006-research-method.paper-grade.html,8995,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-006-research-method.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-006-research-method\HTML\MDA-006-research-method.paper-grade.html,8995,
final/Unsorted/JSON,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-006-research-method.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-006-research-method\JSON\MDA-006-research-method.paper-grade.json,18387,
final/Unsorted/LOSSLESS_SUMMARY,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-006-research-method.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-006-research-method\LOSSLESS_SUMMARY\MDA-006-research-method.lossless-summary.md,15847,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-006-research-method.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-006-research-method\HTML\MDA-006-research-method.paper-grade-dashboard.html,11678,rendered
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-006-research-method.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-006-research-method\EXCEL\MDA-006-research-method.paper-grade.review.xlsx,13580,rendered
final/Unsorted/MARKDOWN,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-006-research-method.paper-grade.md,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-006-research-method\MARKDOWN\MDA-006-research-method.paper-grade.md,4452,
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-006-research-method.paper-grade.xlsx,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-006-research-method\EXCEL\MDA-006-research-method.paper-grade.xlsx,8868,
final/Unsorted/CLAIMS,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-007-nine-domains.claim-audit.csv,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-007-nine-domains\CLAIMS\MDA-007-nine-domains.claim-audit.csv,2620,
html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-007-nine-domains.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\02_HTML_OUTPUTS\MDA-007-nine-domains.paper-grade.html,7231,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-007-nine-domains.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-007-nine-domains\HTML\MDA-007-nine-domains.paper-grade.html,7231,
final/Unsorted/JSON,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-007-nine-domains.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-007-nine-domains\JSON\MDA-007-nine-domains.paper-grade.json,14413,
final/Unsorted/LOSSLESS_SUMMARY,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-007-nine-domains.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-007-nine-domains\LOSSLESS_SUMMARY\MDA-007-nine-domains.lossless-summary.md,12325,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-007-nine-domains.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-007-nine-domains\HTML\MDA-007-nine-domains.paper-grade-dashboard.html,9642,rendered
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-007-nine-domains.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-007-nine-domains\EXCEL\MDA-007-nine-domains.paper-grade.review.xlsx,13860,rendered
final/Unsorted/MARKDOWN,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-007-nine-domains.paper-grade.md,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-007-nine-domains\MARKDOWN\MDA-007-nine-domains.paper-grade.md,2095,
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-007-nine-domains.paper-grade.xlsx,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-007-nine-domains\EXCEL\MDA-007-nine-domains.paper-grade.xlsx,9111,
final/Unsorted/CLAIMS,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-008-henry-1926.claim-audit.csv,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-008-henry-1926\CLAIMS\MDA-008-henry-1926.claim-audit.csv,6524,
html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-008-henry-1926.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\02_HTML_OUTPUTS\MDA-008-henry-1926.paper-grade.html,9463,
