index,status,title,url,final_url,pdf_file,doc_file,html_file,error,candidates_tried
11,saved_html_only,In Defense of Sensible Naturalism » Internet Infidels,https://infidels.org/library/modern/paul-draper-naturalism,https://infidels.org/library/modern/paul-draper-naturalism/,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\11_In_Defense_of_Sensible_Naturalism_Internet_Infidels.html,,https://infidels.org/old-link/?status=404&href=philosophy.wisc.edu/sober/fitelsoon%20and%20sober%20on%20%20plantinga.pdf
12,saved_html_only,The Self-Defeat of Naturalism: A Critical Comparison of Alvin Plantinga and C. S. Lewis - Christian Scholar’s Review,https://christianscholars.com/the-self-defeat-of-naturalism-a-critical-comparison-of-alvin-plantinga-and-c-s-lewis,https://christianscholars.com/the-self-defeat-of-naturalism-a-critical-comparison-of-alvin-plantinga-and-c-s-lewis/,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\12_The_Self-Defeat_of_Naturalism_A_Critical_Comparison_of_Alvin_Plantinga_and_C._S._Lewis_-_C.html,,
13,downloaded_pdf_direct,Plantinga’s Probability Arguments Against Evolutionary Naturalism,https://fitelson.org/plant.pdf,https://fitelson.org/plant.pdf,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\downloads\13_Plantinga_s_Probability_Arguments_Against_Evolutionary_Naturalism.pdf,,,,
14,downloaded_pdf_direct,An Evolutionary Argument against Naturalism?,https://toconnor.org/wp-content/uploads/2021/04/OConnor_Evolut-ArgNatural94.pdf,https://toconnor.org/wp-content/uploads/2021/04/OConnor_Evolut-ArgNatural94.pdf,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\downloads\14_An_Evolutionary_Argument_against_Naturalism.pdf,,,,
15,saved_html_only,"Petteri Nieminen, Maarten Boudry, Esko Ryökäs & Anne-Mari Mustonen, Biblical and theistic arguments against the evolutionary argument against naturalism - PhilPapers",https://philpapers.org/rec/NIEBAT,https://philpapers.org/rec/NIEBAT,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\15_Petteri_Nieminen_Maarten_Boudry_Esko_Ry_k_s_Anne-Mari_Mustonen_Biblical_and_theistic_argum.html,,https://philpapers.org/go.pl?id=NIEBAT&proxyId=&u=https%3A%2F%2Fdx.doi.org%2F10.1111%2Fzygo.12327
16,failed,"Omar Mirza, A user’s guide to the evolutionary argument against naturalism - PhilPapers",https://philpapers.org/rec/MIRAUG,,,,,<HTTPError 301: 'Moved Permanently'>,
17,saved_html_only,Defeating Naturalism: Defending and Reformulating Plantinga’s EAAN,https://digitalcommons.liberty.edu/cgi/viewcontent.cgi?article=1097&context=eleu,https://digitalcommons.liberty.edu/cgi/viewcontent.cgi?article=1097&context=eleu,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\17_Defeating_Naturalism_Defending_and_Reformulating_Plantinga_s_EAAN.html,,
18,saved_html_only,NATURALISM AND SELF-DEFEAT: PLANTINGA'S VERSION | Religious Studies | Cambridge Core,https://cambridge.org/core/journals/religious-studies/article/abs/naturalism-and-selfdefeat-plantingas-version/5B6B8F6973E9B028B303EBCDA9CE6585,https://www.cambridge.org:443/core/journals/religious-studies/article/abs/naturalism-and-selfdefeat-plantingas-version/5B6B8F6973E9B028B303EBCDA9CE6585,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\18_NATURALISM_AND_SELF-DEFEAT_PLANTINGA_S_VERSION_Religious_Studies_Cambridge_Core.html,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5B6B8F6973E9B028B303EBCDA9CE6585/S0034412597003855a.pdf/div-class-title-naturalism-and-self-defeat-plantinga-s-version-div.pdf
19,saved_html_only,"Timothy O'Connor, A House Divided Against Itself Cannot Stand: Plantinga on the Self-Defeat of Evolutionary Naturalism - PhilPapers",https://philpapers.org/rec/OCOAHD,https://philpapers.org/rec/OCOAHD,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\19_Timothy_O_Connor_A_House_Divided_Against_Itself_Cannot_Stand_Plantinga_on_the_Self-Defeat_.html,,
20,saved_html_only,The Evolutionary Argument Against Naturalism,https://academia.edu/107282406/The_Evolutionary_Argument_Against_Naturalism,https://www.academia.edu/107282406/The_Evolutionary_Argument_Against_Naturalism,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\20_The_Evolutionary_Argument_Against_Naturalism.html,,
21,saved_html_only,Does the Evolutionary Argument Against Naturalism Defeat God’s Beliefs? | Sophia | Springer Nature Link,https://link.springer.com/article/10.1007/s11841-019-00748-6,https://link.springer.com/article/10.1007/s11841-019-00748-6?error=cookies_not_supported&code=00c841b8-3071-48de-ab1a-28ead8134795,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\21_Does_the_Evolutionary_Argument_Against_Naturalism_Defeat_God_s_Beliefs_Sophia_Springer_Nat.html,,https://link.springer.com/content/pdf/10.1007/s11841-019-00748-6.pdf
22,saved_html_only,Is Naturalism Self-Defeating? | Naturalism.org,https://naturalism.justmagicdesign.com/philosophy/faith-and-theology/is-naturalism-self-defeating,https://naturalism.justmagicdesign.com/philosophy/faith-and-theology/is-naturalism-self-defeating,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\22_Is_Naturalism_Self-Defeating_Naturalism.org.html,,
23,downloaded_pdf_from_page,"Branden Fitelson & Elliott Sober, Plantinga’s Probability Arguments Against Evolutionary Naturalism - PhilPapers",https://philpapers.org/rec/FITPPA,http://fitelson.org/plant.pdf,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\downloads\23_Branden_Fitelson_Elliott_Sober_Plantinga_s_Probability_Arguments_Against_Evolutionary_Natu.pdf,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\23_Branden_Fitelson_Elliott_Sober_Plantinga_s_Probability_Arguments_Against_Evolutionary_Natu.html,,https://philpapers.org/go.pl?id=FITPPA&proxyId=&u=http%3A%2F%2Ffitelson.org%2Fplant.pdf
24,saved_html_only,Plantinga Summarises the Evolutionary Argument Against Naturalism - Christian Apologetics Alliance,https://christianapologeticsalliance.com/2012/12/13/plantinga-summarises-the-evolutionary-argument-against-naturalism,https://christianapologeticsalliance.com/2012/12/13/plantinga-summarises-the-evolutionary-argument-against-naturalism/,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\24_Plantinga_Summarises_the_Evolutionary_Argument_Against_Naturalism_-_Christian_Apologetics_.html,,
25,downloaded_pdf_direct,Does the Evolutionary Argument Against Naturalism Defeat God’s Beliefs?,https://philpapers.org/archive/HENDTE.pdf,https://philpapers.org/archive/HENDTE.pdf,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\downloads\25_Does_the_Evolutionary_Argument_Against_Naturalism_Defeat_God_s_Beliefs.pdf,,,,
